start_station,end_station,count,start_lat,start_lon,end_lat,end_lon
South Van Ness at Market,South Van Ness at Market,136,37.774814,-122.418954,37.774814,-122.418954
Golden Gate at Polk,South Van Ness at Market,78,37.781332,-122.418603,37.774814,-122.418954
San Francisco City Hall,South Van Ness at Market,79,37.77865,-122.418235,37.774814,-122.418954
Market at 10th,South Van Ness at Market,74,37.776619,-122.417385,37.774814,-122.418954
Civic Center BART (7th at Market),South Van Ness at Market,188,37.781039,-122.411748,37.774814,-122.418954
Cyril Magnin St at Ellis St,South Van Ness at Market,2,37.785908,-122.408891,37.774814,-122.418954
Powell at Post (Union Square),South Van Ness at Market,90,37.788446,-122.408499,37.774814,-122.418954
Powell Street BART,South Van Ness at Market,401,37.783871,-122.408433,37.774814,-122.418954
Grant Avenue at Columbus Avenue,South Van Ness at Market,49,37.7979,-122.405942,37.774814,-122.418954
5th at Howard,South Van Ness at Market,76,37.781752,-122.405127,37.774814,-122.418954
Market at 4th,South Van Ness at Market,201,37.786305,-122.404966,37.774814,-122.418954
Washington at Kearny,South Van Ness at Market,43,37.795425,-122.404767,37.774814,-122.418954
Post at Kearny,South Van Ness at Market,120,37.788975,-122.403452,37.774814,-122.418954
Embarcadero at Sansome,South Van Ness at Market,206,37.80477,-122.403234,37.774814,-122.418954
5th St at Folsom St,South Van Ness at Market,5,37.780148,-122.403158,37.774814,-122.418954
Commercial at Montgomery,South Van Ness at Market,71,37.794231,-122.402923,37.774814,-122.418954
Townsend at 7th,South Van Ness at Market,499,37.771058,-122.402717,37.774814,-122.418954
Yerba Buena Center of the Arts (3rd @ Howard),South Van Ness at Market,87,37.784878,-122.401014,37.774814,-122.418954
Broadway St at Battery St,South Van Ness at Market,45,37.798541,-122.400862,37.774814,-122.418954
Market at Sansome,South Van Ness at Market,129,37.789625,-122.400811,37.774814,-122.418954
Clay at Battery,South Van Ness at Market,15,37.795001,-122.39997,37.774814,-122.418954
Mechanics Plaza (Market at Battery),South Van Ness at Market,188,37.7913,-122.399051,37.774814,-122.418954
Embarcadero at Vallejo,South Van Ness at Market,10,37.799953,-122.398525,37.774814,-122.418954
Davis at Jackson,South Van Ness at Market,36,37.79728,-122.398436,37.774814,-122.418954
Howard at 2nd,South Van Ness at Market,86,37.786978,-122.398108,37.774814,-122.418954
Beale at Market,South Van Ness at Market,85,37.792251,-122.397086,37.774814,-122.418954
2nd at Folsom,South Van Ness at Market,34,37.785299,-122.396236,37.774814,-122.418954
San Francisco Caltrain 2 (330 Townsend),South Van Ness at Market,418,37.7766,-122.39547,37.774814,-122.418954
San Francisco Caltrain (Townsend at 4th),South Van Ness at Market,407,37.776617,-122.39526,37.774814,-122.418954
Temporary Transbay Terminal (Howard at Beale),South Van Ness at Market,456,37.789756,-122.394643,37.774814,-122.418954
Steuart at Market,South Van Ness at Market,51,37.794139,-122.394434,37.774814,-122.418954
Harry Bridges Plaza (Ferry Building),South Van Ness at Market,49,37.795392,-122.394203,37.774814,-122.418954
2nd at South Park,South Van Ness at Market,69,37.782259,-122.392738,37.774814,-122.418954
Embarcadero at Folsom,South Van Ness at Market,26,37.791464,-122.391034,37.774814,-122.418954
Spear at Folsom,South Van Ness at Market,79,37.790302,-122.390637,37.774814,-122.418954
2nd at Townsend,South Van Ness at Market,50,37.780526,-122.390288,37.774814,-122.418954
Embarcadero at Bryant,South Van Ness at Market,12,37.787152,-122.388013,37.774814,-122.418954
South Van Ness at Market,Golden Gate at Polk,84,37.774814,-122.418954,37.781332,-122.418603
Golden Gate at Polk,Golden Gate at Polk,70,37.781332,-122.418603,37.781332,-122.418603
San Francisco City Hall,Golden Gate at Polk,53,37.77865,-122.418235,37.781332,-122.418603
Market at 10th,Golden Gate at Polk,177,37.776619,-122.417385,37.781332,-122.418603
Civic Center BART (7th at Market),Golden Gate at Polk,29,37.781039,-122.411748,37.781332,-122.418603
Cyril Magnin St at Ellis St,Golden Gate at Polk,4,37.785908,-122.408891,37.781332,-122.418603
Powell at Post (Union Square),Golden Gate at Polk,46,37.788446,-122.408499,37.781332,-122.418603
Powell Street BART,Golden Gate at Polk,128,37.783871,-122.408433,37.781332,-122.418603
Grant Avenue at Columbus Avenue,Golden Gate at Polk,31,37.7979,-122.405942,37.781332,-122.418603
5th at Howard,Golden Gate at Polk,100,37.781752,-122.405127,37.781332,-122.418603
Market at 4th,Golden Gate at Polk,55,37.786305,-122.404966,37.781332,-122.418603
Washington at Kearny,Golden Gate at Polk,57,37.795425,-122.404767,37.781332,-122.418603
Post at Kearny,Golden Gate at Polk,44,37.788975,-122.403452,37.781332,-122.418603
Embarcadero at Sansome,Golden Gate at Polk,151,37.80477,-122.403234,37.781332,-122.418603
5th St at Folsom St,Golden Gate at Polk,17,37.780148,-122.403158,37.781332,-122.418603
Commercial at Montgomery,Golden Gate at Polk,23,37.794231,-122.402923,37.781332,-122.418603
Townsend at 7th,Golden Gate at Polk,145,37.771058,-122.402717,37.781332,-122.418603
Yerba Buena Center of the Arts (3rd @ Howard),Golden Gate at Polk,29,37.784878,-122.401014,37.781332,-122.418603
Broadway St at Battery St,Golden Gate at Polk,54,37.798541,-122.400862,37.781332,-122.418603
Market at Sansome,Golden Gate at Polk,96,37.789625,-122.400811,37.781332,-122.418603
Clay at Battery,Golden Gate at Polk,28,37.795001,-122.39997,37.781332,-122.418603
Mechanics Plaza (Market at Battery),Golden Gate at Polk,88,37.7913,-122.399051,37.781332,-122.418603
Embarcadero at Vallejo,Golden Gate at Polk,11,37.799953,-122.398525,37.781332,-122.418603
Davis at Jackson,Golden Gate at Polk,11,37.79728,-122.398436,37.781332,-122.418603
Howard at 2nd,Golden Gate at Polk,36,37.786978,-122.398108,37.781332,-122.418603
Beale at Market,Golden Gate at Polk,91,37.792251,-122.397086,37.781332,-122.418603
